CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Tags_Creation_Description,Ticket Info,image_path,open_time,close_time,coordinate,tags
,Children Club House of Go Vap District,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6u12000iygid8s094A.jpg,0:00,23:59,"10.843598, 106.668213",
,Côn Đảo Prison,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ4512000i2wcmu6BB51.jpg,0:00,23:59,"8.689295, 106.614512",
,Chơn Không Monastery,,5.0,,Grabbike up to the temple since it's quite a climb up. Nice view of the city from up there. Walking down to the town is possible in 10mins and you can easily grab from down there than up in the temple.,,,0.0,https://ak-d.tripcdn.com/images/0HJ0912000i4wlo7g45E3.jpg,0:00,23:59,"10.357802, 107.071822",
,City Sightseeing Saigon,,0.0,,,"City Sightseeing was created in 1999 in Seville, Spain and this tour is still the back bone of our worldwide operations. Starting with just four tours in 2000 and initially as a joint venture between UK based Ensign Bus and newly established City Sightseeing Spain, City Sightseeing is now a well-known feature in almost 100 locations worldwide which span six of the seven continents. Our bright, cheerful and fun-filled red open top buses are sought after by tourists and visitors to some of the world’s top destinations. Saigon is an amazing mix of cultures. Founded over fifteen centuries ago, it didn’t become an important city until the arrival of Vietnamese settlers from the north in the 17th century. Colonisation by the French 200 years later saw a European influence that lasted some hundred years. Independence came via two long and bloody wars that also left their mark. With your Hop-On Hop-Off Bus Ticket, you’ll be able to discover every stunning facet of Saigon. And you can choose between our Saigon City Tour (Red Line) and our Chinatown Tour (Blue Line). Hop on the bus at any of our stops and then decide where to hop off first.",,5.59,https://ak-d.tripcdn.com/images/1lo6912000m2xkfip9285.png,0:00,23:59,"10.776629, 106.702763",
,Trung Tâm Hội Nghị - Tiệc Cưới Riverside Palace,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ0i12000hyslvya71BA.jpg,0:00,23:59,"10.75573, 106.690372",
,Công viên nước Đại Thế Giới,,0.0,"1106 Đ. Võ Văn Kiệt, Phường 6, Quận 5, Hồ Chí Minh 700000, Vietnam",,,,0.0,https://ak-d.tripcdn.com/images/0HJ3n12000iyf42zl4A08.jpg,0:00,23:59,"10.751174, 106.668761",
,Trung tâm Hội nghị & Tiệc cưới Gala,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ2v12000iu6klunFA90.jpg,0:00,23:59,"10.799159, 106.659835",
,Phu Tho Stadium,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ0p12000gx7quq1A455.png,0:00,23:59,"10.767644, 106.655922",
,Aqua Jardin,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6q12000irha7fw0EAB.jpg,0:00,23:59,"10.819287, 106.699664",
,Hue Nghiem Pagoda,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ1w12000hwdvsmtBEFE.jpg,0:00,23:59,"10.742504, 106.616032",
,District 5 Cultural Center,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ5n12000ih6wkfnCD6E.jpg,0:00,23:59,"10.752422, 106.668542",
,Tourist Area April 30,,0.0,"9WQC+3HX, Long Hoà, Cần Giờ, Hồ Chí Minh, Vietnam",,,,0.0,https://ak-d.tripcdn.com/images/0HJ5t12000ip1zwgiB95C.jpg,0:00,23:59,"10.387735, 106.921473",
,St. Paul's Church,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ3v12000it8tpys000A.jpg,0:00,23:59,"10.75231, 106.616141",
,Tan Binh Exhibition and Convention Center,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6412000impsdsoD27E.jpg,0:00,23:59,"10.795647, 106.654817",
,The Venerable Thich Quảng Đức Monument,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6n12000i7k8k01837E.jpg,0:00,23:59,"10.775466, 106.686771",
,Hoa Lan Night Market,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ5v12000ic53rts305A.jpg,0:00,23:59,"10.949023, 106.713593",
,Phòng Khám Da Liễu Gà Quận 7,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ1h12000i3w97j2BC9C.jpg,0:00,23:59,"10.740908, 106.696445",
,Hoang Van Thu Park,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ3g12000gnd6a6w3789.jpg,0:00,23:59,"10.801044, 106.665051",
,Rainbow Noraebang Vạn Hạnh Mall,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6w12000isid5ja7E6C.jpg,0:00,23:59,"10.770711, 106.669629",
,Kat In Love - Lê Lai - Gò Vấp,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ3612000iom7h5wB1D1.jpg,0:00,23:59,"10.817951, 106.68465",
,Gozoo Farm,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,0:00,23:59,"10.447463, 107.3174",
,Park District 9,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ5j12000it9jjnsD437.jpg,0:00,23:59,"10.843448, 106.778725",
,Hue Nghiem Buddhist Temple,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0ww6f12000952a4el4413.jpg,0:00,23:59,"10.788868, 106.739129",
,Massage Foot & Body GÒ VẤP,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ6t12000ibcw0b2A5A3.jpg,0:00,23:59,"10.839009, 106.663026",
,Dong Nai Provincial Square,,0.0,"Số 01 Nguyễn Ái Quốc, Tân Phong, Biên Hòa, Đồng Nai, Vietnam",,,,0.0,https://ak-d.tripcdn.com/images/0HJ0912000gior8j8B1CC.jpg,0:00,23:59,"10.958069, 106.82859",
,Park Bien Hung,,0.0,,,,,0.0,https://ak-d.tripcdn.com/images/0HJ0912000gf7hfnj7324.jpg,0:00,23:59,"10.951501, 106.822311",
,Golden Scorpion Ecological Tourist Area,,0.0,"số 203 Ấp 3, Phước Khánh, Nhơn Trạch, Đồng Nai 76263, Vietnam",,,,0.0,https://ak-d.tripcdn.com/images/0HJ4b12000hcmkwcxBF2F.jpg,0:00,23:59,"10.658685, 106.856163",
,The Amazing Bay,,4.5,,"The biggest waterpark in Vietnam with wave pool, slides and Lazy river.","The Amazing Bay, the super water park in Vietnam with Paradise Beach filled with white sand and magical waves 4 meters high, appeared in Vietnam. On April 30, 2022, The Amazing Bay - Ky Dieu Bay was officially put into operation at Son Tien Ecotourism City - Bien Hoa, Dong Nai, with a total investment of more than 2500 billion VND, with an area of over 25 hectares, can accommodate up to 30,000 visitors. The Amazing Bay - Miraculous Bay promises to be an interesting destination for all domestic and foreign tourists. Not only that, according to the strategic vision, in phase 2 of the project, it will be a place to fully integrate all infrastructure under the unique ""Smart Urban Area and Eco-Tourism"" project. , scale, modern. Combination of: Travel, Leisure, Resort, Food, Culture. At The Amazing Bay - Wonders Bay offers a variety of large and small underwater games for all ages. Accompanied by entertainment services, quality services to bring customers enjoyable experience. In addition to entertainment and relaxation services, visitors will enjoy a variety of transcontinental delicacies from Asia to Europe with their family and loved ones at the chain of restaurants located on the Park's premises. Updating and developing the trend of modern entertainment - entertainment, but at The Amazing Bay, the religious element is honored and paralleled in the chain of resort services. Help customers find a place of peace, quiet their mind and restore positive energy with religious works imbued with Vietnamese culture.",,16.75,https://ak-d.tripcdn.com/images/1lo2t12000fqny9b0056C.png,0:00,23:59,"10.877303, 106.871803",
